Modèle,RMSE_Test,MAE_Test,R²_Test,Temps_Training
Régression Linéaire,0.540231975705852,0.3700559721331238,0.7870694400186464,Rapide (~10s)
Random Forest (base),0.540231975705852,0.3700559721331238,0.7870694400186464,Moyen (~30s)
Random Forest (optimisé CV),0.5009845363801668,0.33141923399526185,0.8168840956660092,Long (~1-2min)
