Modèle,RMSE_Train,RMSE_Test,MAE_Train,MAE_Test,R²_Train,R²_Test
Régression Linéaire,0.6837768652177846,0.6996863087866263,0.4966113732128334,0.4996135291600125,0.6463611394917534,0.642822431896343
Random Forest,0.45353423169840895,0.540231975705852,0.3212937583932664,0.3700559721331238,0.8444208762607215,0.7870694400186464
