Feature,Importance
MedInc,0.39526431690845715
AveOccup,0.11527181867519909
BedroomsRatio,0.08645164144805993
DistCenter,0.0848581628445815
Latitude,0.08090403246854629
Longitude,0.06508168270376397
RoomsPerHH,0.060843144919912245
HouseAge,0.04282167065552259
AveRooms,0.036698327152397694
AveBedrms,0.011747640835518724
